,0,1
0,0,<s>
1,1,Vas
2,2,w
3,3,ani
4,4,et
5,5,al
6,6,.
7,7,(
8,8,2
9,9,0
10,10,1
11,11,7
12,12,)
13,13,introduced
14,14,the
15,15,Trans
16,16,form
17,17,ers
18,18,model
19,19,for
20,20,sequence
21,21,-
22,22,to
23,23,-
24,24,sequence
25,25,(
26,26,seq
27,27,2
28,28,seq
29,29,)
30,30,tasks
31,31,.
32,32,   
33,33,It
34,34,achieved
35,35,state
36,36,-
37,37,of
38,38,-
39,39,the
40,40,-
41,41,art
42,42,performance
43,43,on
44,44,machine
45,45,translation
46,46,and
47,47,summar
48,48,ization
49,49,tasks
50,50,by
51,51,introdu
52,52,cing
53,53,attention
54,54,-
55,55,based
56,56,rec
57,57,urrent
58,58,neural
59,59,networks
60,60,(
61,61,R
62,62,NN
63,63,s
64,64,","
65,65,e
66,66,.
67,67,g
68,68,".,"
69,69,L
70,70,ST
71,71,M
72,72,s
73,73,)
74,74,to
75,75,capture
