,0
0,<s>
1,Vas
2,w
3,ani
4,et
5,al
6,.
7,(
8,2
9,0
10,1
11,7
12,)
13,introduced
14,the
15,Trans
16,form
17,ers
18,model
19,for
20,sequence
21,-
22,to
23,-
24,sequence
25,(
26,seq
27,2
28,seq
29,)
30,tasks
31,.
32,It
33,achieved
34,state
35,-
36,of
37,-
38,the
39,-
40,art
41,performance
42,on
43,machine
44,translation
45,and
46,summar
47,ization
48,tasks
49,by
50,introdu
51,cing
52,attention
53,-
54,based
55,rec
56,urrent
57,neural
58,networks
59,(
60,R
61,NN
62,s
63,","
64,e
65,.
66,g
67,".,"
68,L
69,ST
70,M
71,s
72,)
73,to
74,capture
