,0
0,0.857
1,0.852
2,0.2954
3,0.2108
4,0.1812
5,0.142
6,0.1283
7,0.0909
8,14.63
9,0.08746
10,0.1654
11,0.0748
12,0.1752
13,0.2236
14,0.1576
15,0.254
16,0.1499
17,0.1923
18,0.1153
19,0.10645
20,0.0814
21,0.03366
22,0.08746
23,0.03702
24,0.05807
25,0.05264
26,0.0943
27,0.054
28,0.086
29,0.0639
30,0.0742
31,0.3032
32,0.1526
33,0.087
34,0.0527
35,0.03305
36,26.81
37,0.02997
38,0.04767
39,0.05255
40,0.07074
41,0.0459
42,0.0628
43,0.0753
44,0.05368
45,0.05652
46,0.1393
47,0.02396
48,0.03696
49,0.0872
50,0.1084
51,0.0726
52,0.0782
53,0.04654
54,0.0632
55,0.1447
56,0.04456
57,0.05518
58,0.04245
59,0.0663
60,0.1065
61,0.0404
62,0.04245
63,0.0476
64,0.05908
65,0.096
66,0.05814
67,0.0359
68,0.06305
69,0.0856
70,0.04202
71,0.02672
72,0.04053
73,0.0498
74,0.06726
75,0.04105
76,0.0398
77,0.04272
78,0.03522
79,0.4204
80,1.064
81,0.3962
82,0.3328
83,0.3965
84,0.1494
85,0.1251
86,0.1022
87,0.0948
88,0.0869
89,0.1009
90,0.1628
91,0.04962
92,0.04
93,0.4114
94,0.06094
95,0.11584
96,0.3054
97,0.2112
98,0.1509
99,0.1256
100,0.087
101,0.09656
102,0.07965
103,0.0866
104,0.12354
105,0.0911
106,0.1534
107,0.0907
108,0.0896
109,0.10913
110,0.2102
111,0.04416
112,0.04584
113,0.03494
114,0.0442
115,0.02356
116,0.04053
117,0.05136
118,0.0315
119,0.06506
120,0.2725
121,0.1713
122,0.1018
123,0.1283
124,0.1453
125,0.08887
126,0.08295
127,0.1677
128,0.2847
129,0.2556
130,0.1119
131,0.1133
132,0.1451
133,0.05743
134,0.0623
135,0.1
136,0.0993
137,0.05923
138,0.1505
139,0.179
140,0.1045
141,0.0917
142,0.0973
143,0.2747
144,0.08167
145,0.108
146,0.1869
147,0.06744
148,0.06192
149,0.0956
150,0.1045
151,0.0969
152,0.08026
153,0.0694
154,0.1283
155,0.2048
156,1.012
157,2.084
