,0
0,0.02103
1,0.02827
2,0.00671
3,0.004993
4,0.006058
5,0.00427
6,0.003527
7,0.003181
8,0.5225
9,0.003635
10,0.007576
11,0.002592
12,0.003944
13,0.00403
14,0.00396
15,0.00716
16,0.00414
17,0.004406
18,0.003662
19,0.00271
20,0.002806
21,0.001801
22,0.004505
23,0.001997
24,0.002316
25,0.00249
26,0.004093
27,0.00273
28,0.001847
29,0.001955
30,0.00277
31,0.005913
32,0.00415
33,0.00249
34,0.002508
35,0.002012
36,0.837
37,0.001627
38,0.003386
39,0.003368
40,0.003078
41,0.002089
42,0.002443
43,0.003218
44,0.001984
45,0.002098
46,0.007668
47,0.0012045
48,0.001739
49,0.003115
50,0.003956
51,0.002079
52,0.002155
53,0.002115
54,0.002285
55,0.00733
56,0.002104
57,0.002666
58,0.002296
59,0.003033
60,0.00542
61,0.001782
62,0.001711
63,0.002232
64,0.002436
65,0.00232
66,0.00227
67,0.001698
68,0.004135
69,0.004757
70,0.001854
71,0.001705
72,0.002045
73,0.002367
74,0.002121
75,0.002295
76,0.002533
77,0.00239
78,0.00208
79,0.00979
80,0.0397
81,0.00664
82,0.01335
83,0.00838
84,0.00572
85,0.005363
86,0.00372
87,0.00643
88,0.004078
89,0.004723
90,0.007496
91,0.003328
92,0.003424
93,0.02351
94,0.003803
95,0.00588
96,0.00736
97,0.006493
98,0.00736
99,0.00586
100,0.003763
101,0.004955
102,0.00613
103,0.005108
104,0.01338
105,0.006878
106,0.009224
107,0.005466
108,0.00432
109,0.00578
110,0.01003
111,0.003897
112,0.003395
113,0.00315
114,0.004562
115,0.003145
116,0.005016
117,0.00812
118,0.00417
119,0.006985
120,0.01491
121,0.013954
122,0.009834
123,0.013466
124,0.02173
125,0.01145
126,0.00801
127,0.01744
128,0.01524
129,0.01822
130,0.06537
131,0.0253
132,0.0244
133,0.01074
134,0.01094
135,0.01837
136,0.01293
137,0.0106
138,0.013466
139,0.03044
140,0.03305
141,0.03198
142,0.0632
143,0.0728
